id,ACTION
271,1
272,1
273,0.939
274,0.608
275,1
276,1
277,0.997
278,1
279,1
280,0.754
281,1
282,0.999
283,0.614
284,0.998
285,1
286,0.999
287,1
288,1
289,1
290,0.996
291,0.341
292,0.823
293,1
294,1
295,0.996
296,0.902
297,0.55
298,0.968
299,0.794
300,1
301,0.917
302,1
303,0.928
304,0.969
305,1
306,1
307,1
308,1
309,0.997
310,1
311,1
312,1
313,1
314,1
315,0.999
316,1
317,0.9
318,1
319,0.377
320,1
321,1
322,0.946
323,1
324,0.997
325,0.982
326,0.991
327,1
328,1
329,1
330,0.998
331,1
332,1
333,1
334,0.993
335,0.999
336,0.993
337,1
338,1
339,1
340,1
341,1
342,0.992
343,0.997
344,1
345,1
346,1
347,1
348,1
349,1
350,0.92
351,0.986
352,1
353,0.997
354,0.866
355,0.997
356,1
357,1
358,1
359,0.976
360,0.23
361,0.864
362,0.979
363,0.965
364,0.998
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0.799
374,0.866
375,0.999
376,1
377,0.96
378,1
379,1
380,0.981
381,1
382,1
383,0.999
384,0.998
385,1
386,0.999
387,0.696
388,1
389,1
390,1
391,0.784
392,1
393,1
394,0.997
395,1
396,0.999
397,1
398,0.988
399,1
400,1
401,0.999
402,0.999
403,0.993
404,0.993
405,0.975
406,1
407,0.961
408,1
409,1
410,1
411,0.999
412,0.995
413,0.989
414,1
415,1
416,0.994
417,1
418,1
419,0.999
420,1
421,1
422,1
423,1
424,0.994
425,1
426,0.995
427,1
428,1
429,0.998
430,1
431,1
432,1
433,0.999
434,1
435,0.97
436,1
437,1
438,0.215
439,0.997
440,0.518
441,0.999
442,1
443,1
444,1
445,0.997
446,0.999
447,0.997
448,0.999
449,0.999
450,0.989
451,0.995
452,1
453,1
454,0.997
455,0.998
456,1
457,1
458,1
459,1
460,0.756
461,0.986
462,0.997
463,1
464,1
465,0.997
466,1
467,0.901
468,1
469,1
470,0.997
471,1
472,1
473,1
474,0.976
475,0.99
476,0.911
477,1
478,0.991
479,0.999
480,1
481,1
482,0.995
483,1
484,0.951
485,0.986
486,0.745
487,1
488,0.999
489,1
490,1
491,1
492,1
493,1
494,0.998
495,0.968
496,1
497,1
498,0.999
499,1
500,1
501,0.997
502,1
503,0.996
504,1
505,0.965
506,1
507,1
508,0.999
509,0.999
510,0.927
511,1
512,1
513,1
514,0.77
515,1
516,1
517,1
518,0.995
519,0.997
520,1
521,1
522,0.995
523,1
524,0.763
525,0.582
526,0.553
527,1
528,1
529,1
530,1
531,0.965
532,0.997
533,1
534,0.999
535,1
536,1
537,1
538,0.997
539,1
540,0.969
541,1
542,0.916
543,0.729
544,1
545,0.995
546,1
547,0.976
548,0.962
549,0.362
550,0.813
551,0.955
552,0.895
553,1
554,0.91
555,1
556,1
557,1
558,0.992
559,0.994
560,0.987
561,1
562,1
563,1
564,0.897
565,1
566,1
567,1
568,0.994
569,1
570,1
571,0.492
572,0.999
573,0.994
574,0.532
575,1
576,1
577,0.997
578,1
579,0.809
580,0.996
581,1
582,1
583,1
584,0.979
585,1
586,1
587,0.989
588,1
589,0.997
590,0.993
591,0.996
592,1
593,1
594,1
595,1
596,1
597,1
598,0.856
599,0.999
600,0.977
601,1
602,0.979
603,1
604,1
605,0.994
606,0.998
607,1
608,1
609,0.977
610,0.984
611,0.998
612,1
613,0.999
614,0.964
615,0.998
616,0.43
617,0.999
618,1
619,0.999
620,0.999
621,1
622,0.998
623,1
624,0.957
625,0.341
626,1
627,1
628,0.999
629,1
630,1
631,1
632,0.956
633,1
634,1
635,0.977
636,0.995
637,0.999
638,1
639,0.992
640,1
641,1
642,1
643,1
644,0.999
645,1
646,0.988
647,0.998
648,0.973
649,0.999
650,0.778
651,1
652,1
653,0.645
654,1
655,0.991
656,1
657,0.992
658,0.999
659,1
660,0.985
661,1
662,1
663,1
664,1
665,0.994
666,0.908
667,0.992
668,0.992
669,0.8
670,0.954
671,1
672,0.98
673,0.944
674,0.997
675,0.998
676,1
677,1
678,1
679,1
680,1
681,0.487
682,0.947
683,1
684,0.999
685,0.997
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,0.986
694,1
695,1
696,0.988
697,1
698,0.999
699,1
700,1
701,0.999
702,0.91
703,0.964
704,0.999
705,0.993
706,0.956
707,0.983
708,1
709,0.996
710,1
711,0.994
712,0.93
713,1
714,1
715,0.994
716,0.822
717,1
718,1
719,0.998
720,1
721,0.999
722,0.998
723,0.999
724,1
725,1
726,0.996
727,1
728,1
729,0.863
730,0.997
731,1
732,1
733,1
734,0.999
735,1
736,0.971
737,1
738,0.998
739,0.996
740,1
741,0.996
742,1
743,0.999
744,1
745,0.999
746,1
747,1
748,1
749,0.997
750,1
751,1
752,1
753,1
754,0.994
755,1
756,0.459
757,1
758,1
759,1
760,1
761,1
762,0.983
763,0.985
764,0.994
765,1
766,0.999
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,0.975
777,0.976
778,1
779,1
780,0.527
781,0.81
782,1
783,0.998
784,0.999
785,0.889
786,0.996
787,1
788,0.988
789,0.993
790,0.988
791,0.999
792,1
793,0.797
794,0.984
795,1
796,0.994
797,1
798,0.957
799,0.999
800,1
801,1
802,1
803,0.961
804,1
805,1
806,1
807,0.484
808,0.985
809,1
810,1
811,1
812,0.925
813,0.999
814,0.999
815,0.68
816,1
817,1
818,0.994
819,1
820,0.785
821,1
822,1
823,1
824,1
825,1
826,0.994
827,1
828,1
829,1
830,0.997
831,0.788
832,1
833,1
834,1
835,1
836,0.621
837,0.981
838,1
839,0.958
840,1
841,0.82
842,0.999
843,1
844,1
845,1
846,0.996
847,1
848,1
849,1
850,0.468
851,1
852,0.979
853,1
854,0.026
855,0.999
856,1
857,0.994
858,1
859,1
860,0.998
861,1
862,0.999
863,1
864,1
865,0.151
866,0.998
867,1
868,0.962
869,0.995
870,1
871,1
872,0.998
873,1
874,0.986
875,1
876,0.985
877,1
878,0.995
879,1
880,1
881,0.932
882,1
883,0.999
884,0.993
885,0.982
886,0.999
887,0.568
888,0.998
889,1
890,0.998
891,0.998
892,0.995
893,0.422
894,1
895,1
896,0.945
897,0.993
898,1
899,0.581
900,1
901,1
902,1
903,0.999
904,0.999
905,1
906,0.993
907,1
908,1
909,0.987
910,0.997
911,0.86
912,1
913,1
914,1
915,0.999
916,1
917,1
918,1
919,1
920,1
921,0.999
922,0.996
923,0.997
924,0.966
925,0.981
926,0.963
927,1
928,0.995
929,1
930,1
931,1
932,1
933,0.983
934,1
935,1
936,0.988
937,1
938,1
939,1
940,0.998
941,1
942,1
943,0.697
944,0.999
945,1
946,1
947,1
948,0.958
949,1
950,0.906
951,0.999
952,0.951
953,0.999
954,1
955,0.939
956,0.162
957,1
958,0.997
959,0.353
960,1
961,0.929
962,0.999
963,1
964,1
965,1
966,0.801
967,1
968,0.719
969,0.988
970,0.974
971,0.998
972,1
973,1
974,1
975,0.999
976,1
977,1
978,0.995
979,0.993
980,0.828
981,0.998
982,1
983,1
984,0.019
985,1
986,1
987,1
988,0.988
989,0.993
990,0.996
991,0.569
992,0.996
993,0.999
994,1
995,1
996,1
997,0.938
998,1
999,1
1000,0.998
1001,1
1002,0.997
1003,0.996
1004,1
1005,0.993
1006,1
1007,0.998
1008,1
1009,1
1010,1
1011,1
1012,0.998
1013,1
1014,0.998
1015,0.999
1016,1
1017,0.553
1018,0.999
1019,0.966
1020,0.999
1021,1
1022,0.998
1023,0.999
1024,0.999
1025,0.855
1026,0.96
1027,0.998
1028,0.982
1029,1
1030,1
1031,0.994
1032,1
1033,1
1034,0.999
1035,1
1036,1
1037,1
1038,0.996
1039,1
1040,0.992
1041,0.997
1042,0.997
1043,0.922
1044,0.936
1045,0.95
1046,1
1047,1
1048,1
1049,0.97
1050,1
1051,1
1052,1
1053,1
1054,0.92
1055,1
1056,0.998
1057,1
1058,1
1059,1
1060,1
1061,0.958
1062,1
1063,0.827
1064,1
1065,1
1066,0.997
1067,1
1068,0.995
1069,1
1070,1
1071,0.991
1072,1
1073,0.972
1074,0.979
1075,1
1076,1
1077,0.998
1078,1
1079,1
1080,0.727
1081,1
1082,1
1083,1
1084,1
1085,0.967
1086,1
1087,0.994
1088,0.997
1089,1
1090,1
1091,1
1092,0.997
1093,1
1094,0.999
1095,1
1096,1
1097,0.998
1098,1
1099,1
1100,0.999
1101,1
1102,0.995
1103,1
1104,0.559
1105,0.993
1106,1
1107,1
1108,0.997
1109,1
1110,0.998
1111,1
1112,0.988
1113,1
1114,0.989
1115,0.966
1116,1
1117,1
1118,0.923
1119,0.787
1120,1
1121,0.995
1122,0.996
1123,0.997
1124,0.867
1125,0.998
1126,0.983
1127,1
1128,1
1129,1
1130,1
1131,0.855
1132,0.998
1133,1
1134,1
1135,0.694
1136,0.977
1137,1
1138,1
1139,1
1140,0.987
1141,1
1142,0.993
1143,1
1144,0.998
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0.6
1155,1
1156,1
1157,0.957
1158,0.981
1159,1
1160,0.979
1161,1
1162,0.999
1163,0.991
1164,1
1165,1
1166,0.963
1167,1
1168,1
1169,0.989
1170,0.597
1171,0.999
1172,0.974
1173,0.999
1174,0.999
1175,0.994
1176,1
1177,0.999
1178,1
1179,0.996
1180,0.419
1181,0.781
1182,0.989
1183,0.998
1184,1
1185,1
1186,0.996
1187,1
1188,0.48
1189,1
1190,1
1191,1
1192,0.998
1193,1
1194,1
1195,1
1196,0.997
1197,1
1198,0.999
1199,1
1200,1
1201,1
1202,1
1203,1
1204,0.993
1205,1
1206,1
1207,0.996
1208,1
1209,0.973
1210,0.942
1211,1
1212,1
1213,0.925
1214,0.999
1215,1
1216,0.989
1217,0.979
1218,1
1219,0.999
1220,0.957
1221,1
1222,0.998
1223,1
1224,1
1225,1
1226,1
1227,0.987
1228,0.983
1229,0.999
1230,1
1231,0.993
1232,1
1233,1
1234,0.999
1235,0.995
1236,0.998
1237,1
1238,0.973
1239,1
1240,1
1241,0.999
1242,1
1243,1
1244,1
1245,1
1246,0.982
1247,1
1248,1
1249,1
1250,1
1251,0.957
1252,0.961
1253,1
1254,1
1255,0.999
1256,1
1257,0.75
1258,1
1259,0.999
1260,1
1261,1
1262,0.983
1263,1
1264,1
1265,1
1266,1
1267,1
1268,1
1269,0.999
1270,0.999
1271,0.983
1272,1
1273,1
1274,0.992
1275,0.999
1276,1
1277,0.998
1278,1
1279,1
1280,0.995
1281,1
1282,0.959
1283,0.964
1284,1
1285,1
1286,1
1287,0.924
1288,0.998
1289,0.767
1290,1
1291,0.994
1292,0.998
1293,0.998
1294,1
1295,0.999
1296,1
1297,1
1298,1
1299,0.998
1300,0.729
1301,0.999
1302,1
1303,1
1304,1
1305,0.865
1306,1
1307,1
1308,1
1309,1
1310,1
1311,0.986
1312,1
1313,0.939
1314,1
1315,0.999
1316,0.998
1317,1
1318,1
1319,0.999
1320,0.997
1321,0.969
1322,1
1323,1
1324,1
1325,1
1326,0.997
1327,0.99
1328,1
1329,1
1330,1
1331,1
1332,1
1333,0.997
1334,0.999
1335,1
1336,1
1337,1
1338,1
1339,0.233
1340,1
1341,0.989
1342,0.992
1343,1
1344,1
1345,1
1346,0.993
1347,1
1348,0.991
1349,0.999
1350,1
1351,1
1352,1
1353,0.992
1354,1
1355,1
1356,1
1357,0.926
1358,0.963
1359,0.109
1360,0.496
1361,0.999
1362,0.992
1363,1
1364,0.99
1365,0.998
1366,0.851
1367,1
1368,0.998
1369,1
1370,0.996
1371,1
1372,0.999
1373,0.999
1374,0.999
1375,1
1376,0.992
1377,1
1378,1
1379,0.994
1380,0.999
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,0.991
1388,0.916
1389,1
1390,1
1391,0.04
1392,1
1393,0.947
1394,1
1395,0.986
1396,1
1397,1
1398,1
1399,0.997
1400,1
1401,1
1402,0.998
1403,0.999
1404,0.998
1405,0.999
1406,1
1407,0.991
1408,0.997
1409,1
1410,1
1411,0.999
1412,1
1413,0.248
1414,0.962
1415,0.847
1416,0.998
1417,0.997
1418,0.999
1419,1
1420,0.997
1421,0.999
1422,1
1423,0.992
1424,0.999
1425,1
1426,0.995
1427,1
1428,0.991
1429,0.252
1430,1
1431,0.956
1432,1
1433,0.783
1434,0.954
1435,0.817
1436,1
1437,1
1438,0.998
1439,1
1440,0.978
1441,1
1442,0.999
1443,1
1444,1
1445,1
1446,1
1447,1
1448,0.998
1449,0.999
1450,0.996
1451,0.987
1452,1
1453,1
1454,1
1455,0.99
1456,1
1457,1
1458,1
1459,0.994
1460,0.998
1461,1
1462,0.209
1463,1
1464,0.926
1465,1
1466,1
1467,0.991
1468,1
1469,1
1470,0.998
1471,1
1472,0.995
1473,0.994
1474,1
1475,1
1476,1
1477,0.994
1478,0.992
1479,0.997
1480,1
1481,0.963
1482,0.545
1483,1
1484,0.998
1485,1
1486,0.999
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,0.999
1494,0.98
1495,0.998
1496,1
1497,1
1498,1
1499,1
1500,1
1501,0.998
1502,0.247
1503,0.995
1504,1
1505,0.998
1506,0.994
1507,1
1508,0.689
1509,1
1510,1
1511,0.999
1512,1
1513,0.994
1514,1
1515,0.243
1516,0.987
1517,0.528
1518,1
1519,0.996
1520,1
1521,0.99
1522,1
1523,0.996
1524,1
1525,1
1526,1
1527,1
1528,0.997
1529,1
1530,0.995
1531,1
1532,1
1533,0.999
1534,1
1535,1
1536,0.983
1537,1
1538,1
1539,1
1540,0.997
1541,1
1542,1
1543,0.971
1544,0.999
1545,1
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,0.995
1558,1
1559,1
1560,0.824
1561,0.995
1562,0.538
1563,0.909
1564,1
1565,0.997
1566,0.998
1567,1
1568,0.602
1569,1
1570,1
1571,0.768
1572,1
1573,0.233
1574,1
1575,0.998
1576,0.989
1577,1
1578,0.626
1579,0.999
1580,0.604
1581,1
1582,1
1583,1
1584,1
1585,0.991
1586,0.944
1587,0.987
1588,1
1589,0.999
1590,1
1591,0.999
1592,1
1593,0.998
1594,1
1595,0.292
1596,0.998
1597,1
1598,1
1599,0.015
1600,0.998
1601,1
1602,0.999
1603,0.999
1604,1
1605,0.988
1606,0.994
1607,0.97
1608,0.975
1609,0.999
1610,0.973
1611,1
1612,1
1613,0.999
1614,0.785
1615,1
1616,1
1617,0.453
1618,1
1619,0.998
1620,0.999
1621,0.989
1622,0.895
1623,0.993
1624,1
1625,1
1626,1
1627,0.562
1628,0.999
1629,1
1630,1
1631,1
1632,1
1633,0.97
1634,1
1635,0.998
1636,0.997
1637,0.998
1638,0.994
1639,0.593
1640,1
1641,1
1642,0.72
1643,1
1644,1
1645,0.861
1646,1
1647,1
1648,0.997
1649,1
1650,0.999
1651,0.998
1652,0.999
1653,0.999
1654,1
1655,1
1656,0.998
1657,1
1658,0.999
1659,0.982
1660,1
1661,1
1662,1
1663,1
1664,1
1665,0.755
1666,0.998
1667,0.793
1668,0.998
1669,1
1670,1
1671,0.266
1672,0.999
1673,1
1674,1
1675,0.057
1676,0.529
1677,1
1678,0.999
1679,0.996
1680,1
1681,1
1682,0.991
1683,0.998
1684,0.999
1685,1
1686,1
1687,0.986
1688,0.999
1689,1
1690,0.998
1691,0.991
1692,1
1693,1
1694,0.892
1695,0.995
1696,1
1697,0.985
1698,0.997
1699,0.996
1700,1
1701,0.999
1702,1
1703,0.923
1704,0.994
1705,1
1706,0.991
1707,1
1708,0.999
1709,1
1710,1
1711,1
1712,1
1713,0.887
1714,1
1715,1
1716,1
1717,0.438
1718,0.595
1719,1
1720,0.954
1721,0.999
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,1
1731,0.997
1732,0.994
1733,1
1734,1
1735,1
1736,0.998
1737,1
1738,1
1739,0.903
1740,1
1741,0.986
1742,1
1743,1
1744,1
1745,1
1746,1
1747,0.878
1748,0.999
1749,1
1750,0.999
1751,0.998
1752,1
1753,1
1754,1
1755,1
1756,0.999
1757,1
1758,0.998
1759,1
1760,0.999
1761,0.899
1762,0.991
1763,1
1764,1
1765,1
1766,1
1767,1
1768,0.878
1769,0.945
1770,1
1771,0.996
1772,1
1773,0.993
1774,0.985
1775,1
1776,0.977
1777,1
1778,0.997
1779,1
1780,0.933
1781,0.993
1782,0.881
1783,0.998
1784,0.999
1785,0.999
1786,0.998
1787,0.981
1788,0.988
1789,1
1790,1
1791,0.46
1792,1
1793,0.999
1794,0.892
1795,1
1796,0.82
1797,0.998
1798,1
1799,1
1800,1
1801,1
1802,0.999
1803,0.944
1804,0.99
1805,0.886
1806,0.88
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,0.601
1814,0.433
1815,1
1816,1
1817,0.942
1818,0.998
1819,0.963
1820,0.998
1821,1
1822,0.999
1823,1
1824,0.882
1825,1
1826,0.992
1827,1
1828,1
1829,1
1830,0.974
1831,1
1832,1
1833,0.999
1834,0.996
1835,0.999
1836,1
1837,1
1838,0.432
1839,1
1840,0.992
1841,0.749
1842,1
1843,1
1844,0.996
1845,0.999
1846,1
1847,1
1848,1
1849,1
1850,1
1851,0.843
1852,1
1853,0.968
1854,0.997
1855,0.993
1856,1
1857,1
1858,0.507
1859,1
1860,0.702
1861,1
1862,1
1863,0.993
1864,0.991
1865,0.999
1866,1
1867,1
1868,1
1869,0.958
1870,0.978
1871,1
1872,0.999
1873,0.437
1874,0.857
1875,0.694
1876,1
1877,1
1878,0.967
1879,0.999
1880,1
1881,1
1882,1
1883,0.656
1884,0.914
1885,0.907
1886,0.995
1887,0.998
1888,0.991
1889,1
1890,1
1891,0.994
1892,1
1893,1
1894,1
1895,1
1896,1
1897,0.998
1898,0.998
1899,0.955
1900,0.995
1901,0.843
1902,1
1903,0.999
1904,1
1905,0.976
1906,1
1907,1
1908,0.396
1909,0.992
1910,1
1911,1
1912,1
1913,1
1914,1
1915,0.999
1916,1
1917,1
1918,1
1919,0.856
1920,1
1921,0.878
1922,0.991
1923,0.999
1924,0.996
1925,1
1926,0.749
1927,1
1928,1
1929,1
1930,0.941
1931,0.996
1932,0.469
1933,1
1934,0.991
1935,1
1936,1
1937,1
1938,0.987
1939,0.998
1940,0.999
1941,1
1942,0.999
1943,0.97
1944,0.991
1945,0.914
1946,1
1947,0.636
1948,1
1949,1
1950,1
1951,1
1952,0.999
1953,1
1954,1
1955,1
1956,1
1957,0.716
1958,1
1959,1
1960,1
1961,1
1962,1
1963,0.97
1964,1
1965,1
1966,1
1967,1
1968,0.727
1969,0.898
1970,0.996
1971,0.102
1972,1
1973,1
1974,1
1975,1
1976,1
1977,0.994
1978,0.997
1979,1
1980,1
1981,1
1982,0.998
1983,0.492
1984,0.999
1985,1
1986,1
1987,0.661
1988,0.996
1989,0.999
1990,0.943
1991,0.998
1992,1
1993,1
1994,0.984
1995,1
1996,0.998
1997,0.999
1998,1
1999,0.995
2000,0.996
2001,0.974
2002,1
2003,0.995
2004,1
2005,1
2006,1
2007,0.999
2008,0.762
2009,1
2010,0.974
2011,0.999
2012,1
2013,1
2014,0.998
2015,0.999
2016,0.995
2017,1
2018,1
2019,0.998
2020,0.999
2021,1
2022,0.944
2023,1
2024,0.992
2025,1
2026,0.982
2027,1
2028,1
2029,1
2030,0.708
2031,1
2032,1
2033,0.999
2034,0.858
2035,0.995
2036,1
2037,1
2038,0.968
2039,1
2040,1
2041,1
2042,0.913
2043,1
2044,0.52
2045,1
2046,0.989
2047,0.998
2048,0.995
2049,1
2050,1
2051,1
2052,0.476
2053,1
2054,1
2055,0.968
2056,0.96
2057,0.98
2058,1
2059,0.985
2060,0.92
2061,0.999
2062,0.998
2063,1
2064,1
2065,0.999
2066,1
2067,0.839
2068,0.998
2069,1
2070,1
2071,0.999
2072,1
2073,1
2074,1
2075,0.414
2076,0.998
2077,1
2078,1
2079,0.99
2080,1
2081,0.999
2082,1
2083,0.996
2084,0.943
2085,1
2086,1
2087,0.997
2088,1
2089,0.958
2090,1
2091,0.997
2092,1
2093,0.998
2094,0.999
2095,0.993
2096,1
2097,1
2098,0.635
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,0.995
2106,0.998
2107,1
2108,0.993
2109,0.933
2110,1
2111,1
2112,0.917
2113,1
2114,1
2115,1
2116,1
2117,0.977
2118,0.998
2119,1
2120,0.995
2121,0.741
2122,1
2123,1
2124,1
2125,1
2126,0.998
2127,1
2128,1
2129,0.999
2130,1
2131,1
2132,0.904
2133,0.999
2134,1
2135,1
2136,1
2137,1
2138,0.999
2139,0.994
2140,1
2141,0.997
2142,0.98
2143,0.998
2144,0.995
2145,0.999
2146,0.79
2147,0.999
2148,1
2149,1
2150,1
2151,0.953
2152,0.999
2153,0.999
2154,0.998
2155,1
2156,1
2157,1
2158,0.998
2159,0.999
2160,0.999
2161,1
2162,0.622
2163,0.99
2164,1
2165,1
2166,0.745
2167,1
2168,1
2169,0.995
2170,1
2171,0.834
2172,0.999
2173,0.998
2174,0.999
2175,0.99
2176,0.997
2177,1
2178,0.959
2179,1
2180,1
2181,1
2182,0.989
2183,0.996
2184,1
2185,0.999
2186,1
2187,1
2188,0.998
2189,1
2190,1
2191,0.994
2192,1
2193,0.999
2194,1
2195,1
2196,1
2197,0.979
2198,1
2199,0.999
2200,1
2201,0.994
2202,1
2203,1
2204,1
2205,0.999
2206,0.724
2207,0.993
2208,0.997
2209,0.996
2210,1
2211,0.998
2212,0.999
2213,0.995
2214,1
2215,0.99
2216,1
2217,0.997
2218,1
2219,0.996
2220,1
2221,1
2222,0.996
2223,0.998
2224,1
2225,1
2226,1
2227,0.994
2228,0.999
2229,0.986
2230,0.888
2231,1
2232,1
2233,0.269
2234,0.975
2235,0.999
2236,0.999
2237,0.288
2238,1
2239,0.999
2240,0.288
2241,0.995
2242,0.936
2243,0.999
2244,0.974
2245,1
2246,0.99
2247,0.995
2248,1
2249,1
2250,1
2251,1
2252,0.998
2253,0.976
2254,1
2255,1
2256,0.594
2257,1
2258,0.567
2259,1
2260,0.952
2261,0.992
2262,1
2263,1
2264,1
2265,0.971
2266,0.811
2267,0.993
2268,0.994
2269,0.893
2270,1
2271,1
2272,0.991
2273,1
2274,1
2275,0.998
2276,1
2277,0.998
2278,0.998
2279,1
2280,0.887
2281,1
2282,1
2283,1
2284,0.991
2285,1
2286,1
2287,0.998
2288,1
2289,0.999
2290,1
2291,1
2292,1
2293,0.999
2294,1
2295,1
2296,1
2297,1
2298,0.999
2299,0.985
2300,1
2301,1
2302,0.999
2303,0.998
2304,1
2305,1
2306,0.638
2307,0.956
2308,0.991
2309,0.933
2310,0.998
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,0.999
2318,0.999
2319,1
2320,1
2321,1
2322,1
2323,0.999
2324,0.786
2325,1
2326,1
2327,1
2328,1
2329,0.919
2330,1
2331,1
2332,1
2333,0.999
2334,0.986
2335,0.583
2336,0.812
2337,0.974
2338,0.903
2339,1
2340,0.825
2341,0.996
2342,0.966
2343,1
2344,1
2345,1
2346,1
2347,1
2348,0.996
2349,0.953
2350,1
2351,1
2352,1
2353,1
2354,0.999
2355,0.958
2356,0.996
2357,0.954
2358,0.867
2359,0.999
2360,1
2361,0.703
2362,0.999
2363,0.998
2364,1
2365,0.027
2366,1
2367,1
2368,1
2369,0.994
2370,0.999
2371,1
2372,0.986
2373,1
2374,1
2375,0.926
2376,0.998
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,0.958
2384,0.481
2385,0.958
2386,0.32
2387,0.985
2388,1
2389,0.992
2390,1
2391,1
2392,0.999
2393,1
2394,1
2395,1
2396,1
2397,0.998
2398,1
2399,1
2400,1
2401,0.996
2402,0.995
2403,1
2404,1
2405,0.906
2406,0.337
2407,1
2408,0.052
2409,1
2410,1
2411,1
2412,1
2413,0.997
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,0.999
2425,1
2426,1
2427,1
2428,1
2429,0.996
2430,0.484
2431,0.88
2432,1
2433,0.998
2434,1
2435,1
2436,1
2437,0.996
2438,1
2439,1
2440,1
2441,0.995
2442,0.997
2443,1
2444,0.996
2445,1
2446,1
2447,0.606
2448,0.852
2449,1
2450,1
2451,1
2452,0.96
2453,0.994
2454,0.999
2455,0.996
2456,1
2457,0.7
2458,1
2459,0.953
2460,1
2461,1
2462,1
2463,0.999
2464,0.995
2465,1
2466,1
2467,1
2468,1
2469,1
2470,0.985
2471,1
2472,0.996
2473,0.999
2474,1
2475,1
2476,0.991
2477,0.996
2478,1
2479,0.997
2480,1
2481,0.999
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,0.857
2490,1
2491,0.999
2492,0.999
2493,1
2494,0.999
2495,0.999
2496,1
2497,0.982
2498,0.961
2499,1
2500,0.995
2501,1
2502,0.999
2503,1
2504,1
2505,0.992
2506,0.998
2507,0.712
2508,0.999
2509,0.998
2510,1
2511,1
2512,0.999
2513,0.86
2514,1
2515,1
2516,0.999
2517,0.934
2518,1
